[00:00:00 --> 00:00:02]  У-а-у! У-а-у!
[01:12:02 --> 01:12:05]  вот этот шов, там шов, там шов,
[01:12:05 --> 01:12:08]  швы, которые в еху не полустиправаренно,
[01:12:08 --> 01:12:10]  не это дает вам гаранцию,
[01:12:10 --> 01:12:12]  там на долгие годы,
[01:12:12 --> 01:12:15]  того, что камера будет герметичный,
[01:12:15 --> 01:12:16]  не дым не вода,
[01:12:16 --> 01:12:19]  из них нужно хместо из нее не выйдут.
[01:12:19 --> 01:12:22]  И, собственно,
[01:12:22 --> 01:12:23]  это, ну,
[01:12:23 --> 01:12:27]  сityризная наша достижения на мой взгляд.
[01:12:27 --> 01:12:28]  Вот так,
[01:12:28 --> 01:12:33]  ну, делают в основном только дорогих камерах европейских.
[01:12:33 --> 01:12:36]  У нас полностью проваривает
[01:12:36 --> 01:12:38]  не знаю, ага с полом проваривает,
[01:12:38 --> 01:12:40]  их тронтужепо он проваривает.
[01:12:40 --> 01:12:43]  Вот вимак, например, не проваривает
[01:12:43 --> 01:12:45]  мы на выставке игрок в Дмаш.
[01:12:45 --> 01:12:48]  А обсуждали с ребятами из компании Мисоруб,
[01:12:48 --> 01:12:50]  они не проваривают,
[01:12:50 --> 01:12:52]  ну, в общем, ималтинг не проваривает.
[01:12:52 --> 01:12:53]  Ну, видимо,
[01:12:53 --> 01:12:54]  они используют другие,
[01:12:54 --> 01:12:56]  серьезные решения для того, чтобы плот
[01:12:56 --> 01:12:57]  нас, соединились, по-наряду,
[01:12:57 --> 01:12:58]  с другом.
[01:12:58 --> 01:12:59]  Вот,
[01:12:59 --> 01:13:00]  и у них получательное,
[01:13:00 --> 01:13:02]  делать качество,
[01:13:02 --> 01:13:02]  вот,
[01:13:02 --> 01:13:04]  я не подбегаю со мнения качества их камеры.
[01:13:04 --> 01:13:05]  Но мы,
[01:13:05 --> 01:13:06]  пришли к тому решения,
[01:13:06 --> 01:13:07]  что, что,
[01:13:07 --> 01:13:08]  100% гарантирователь,
[01:13:08 --> 01:13:09]  герметичность,
[01:13:09 --> 01:13:09]  мы будем проваривать.
[01:13:09 --> 01:13:11]  Мы действительно провариваем.
[01:13:12 --> 01:13:13]  Вот,
[01:13:13 --> 01:13:14]  значит,
[01:13:14 --> 01:13:16]  следующим отличным важным,
[01:13:16 --> 01:13:17]  то, то же самое,
[01:13:17 --> 01:13:20]  если возвращаться к расположению пленов
[01:13:20 --> 01:13:22]  на боговых стенках,
[01:13:22 --> 01:13:24]  мы пришли к этому решению,
[01:13:24 --> 01:13:26]  не просто так.
[01:13:26 --> 01:13:27]  Моя тетса занимался долгое время
[01:13:27 --> 01:13:29]  в том числе и сервисном обслуживанием.
[01:13:29 --> 01:13:31]  Каптельных камер,
[01:13:31 --> 01:13:32]  вот,
[01:13:32 --> 01:13:33]  и была частоая проблема,
[01:13:33 --> 01:13:34]  заключался на в том,
[01:13:34 --> 01:13:37]  что, если у нас патрукки подачи дымы
[01:13:37 --> 01:13:39]  располагаются в верхней части камеры,
[01:13:39 --> 01:13:40]  вот, в этих вот частях,
[01:13:40 --> 01:13:44]  и если камеры работает на щиполом дыме,
[01:13:44 --> 01:13:45]  без автоматической мойки,
[01:13:45 --> 01:13:47]  все камеры по стоимости домирована,
[01:13:47 --> 01:13:49]  они идут без автоматической мойки.
[01:13:49 --> 01:13:50]  В этом случае,
[01:13:50 --> 01:13:52]  часто мы сталкивались с проблемой,
[01:13:52 --> 01:13:54]  закапывания дымы,
[01:13:54 --> 01:13:55]  комменциатом,
[01:13:55 --> 01:13:56]  боковых рядов продукции.
[01:13:56 --> 01:13:57]  Вот, по сути здесь у нас патру,
[01:13:57 --> 01:13:58]  будет идёт,
[01:13:58 --> 01:13:58]  и вот,
[01:13:58 --> 01:14:00]  капельки дымы могут нам оковыряйды
[01:14:00 --> 01:14:02]  забрызгивать особенно при холодном копчении,
[01:14:02 --> 01:14:05]  долгое долгое холодном копчении.
[01:14:05 --> 01:14:05]  Вот,
[01:14:05 --> 01:14:07]  этот проблема решается сключительно там.
[01:14:07 --> 01:14:08]  У меня с каймерах тем,
[01:14:08 --> 01:14:12]  что они программно обязывают,
[01:14:12 --> 01:14:12]  мы идем каймеру,
[01:14:12 --> 01:14:14]  поэтому каждый,
[01:14:14 --> 01:14:16]  там, каждый 2-3,
[01:14:16 --> 01:14:19]  там, 5-5 секунд максимум их общения.
[01:14:19 --> 01:14:19]  Вот,
[01:14:19 --> 01:14:21]  в нашем случае,
[01:14:21 --> 01:14:24]  у нас дым попадает полностью в камеру,
[01:14:24 --> 01:14:26]  через нижние патрухки,
[01:14:26 --> 01:14:27]  вот соответственно,
[01:14:27 --> 01:14:28]  даже если бы эти капли были,
[01:14:28 --> 01:14:30]  они бы попадали не на продукт,
[01:14:30 --> 01:14:32]  а на пол.
[01:14:32 --> 01:14:33]  Вот,
[01:14:33 --> 01:14:35]  дополнительные хибуну с у нас есть,
[01:14:35 --> 01:14:35]  за того,
[01:14:35 --> 01:14:37]  что у нас вот такие длинные пены,
